"CÃ³digo Completo";"Familia";"Referencia";"VersiÃ³n";"Color";"Nombre SAP";"Nombre Final ES";"Nombre Final EN";"Mueble";"DesignaciÃ³n";"LÃ­nea Comercial";"Medida Comercial";"Ancho (cm)";"Fondo (cm)";"Alto (cm)";"Peso (kg)";"Canto Puertas";"RH";"Armado";"Marca Propia"
"VBAN05-0088-000-0467";"VBAN05";"0088";"000";"0467";"MUEBLE BASICO ELEVADO LVM 63X48 SIN MANIJAS CINZA COBALTO";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 SIN MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"61,8";"47,6";"48";"12";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0088-000-0493";"VBAN05";"0088";"000";"0493";"MUEBLE BASICO ELEVADO LVM 63X48 SIN MANIJAS AUSTRAL";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 SIN MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"61,8";"47,6";"48";"12";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0088-DAC-0437";"VBAN05";"0088";"DAC";"0437";"MUEBLE BASICO ELEVADO LVM 63X48 SIN MANIJAS D-ACQUA SODER/MALI";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 SIN MANIJAS CANTO 2 MM D-ACQUA";"BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITHOUT HANDLES 2MM EDGE BAND D-ACQUA";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"61,8";"47,6";"48";"12";"CANTO 2 MM";"NA";"NO";"D-ACQUA"
"VBAN05-0088-FMT-0437";"VBAN05";"0088";"FMT";"0437";"MUEBLE BASICO ELEVADO LVM 63X48 SIN MANIJAS SODER/MALI-FERMETAL";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 SIN MANIJAS CANTO 2 MM FERMETAL";"BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITHOUT HANDLES 2MM EDGE BAND FERMETAL";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"61,8";"47,6";"48";"12";"CANTO 2 MM";"NA";"NO";"FERMETAL"
"VBAN05-0088-FMT-0439";"VBAN05";"0088";"FMT";"0439";"MUEBLE BASICO ELEVADO LVM 63X48 SIN MANIJAS MITTE/TAMBO-FERMETAL";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 SIN MANIJAS CANTO 2 MM FERMETAL";"BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITHOUT HANDLES 2MM EDGE BAND FERMETAL";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"61,8";"47,6";"48";"12";"CANTO 2 MM";"NA";"NO";"FERMETAL"
"VBAN05-0088-FMT-0447";"VBAN05";"0088";"FMT";"0447";"MUEBLE BASICO ELEVADO LVM 63X48 SIN MANIJAS CARBONO/BAUDO-FERMETAL";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 SIN MANIJAS CANTO 2 MM FERMETAL";"BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITHOUT HANDLES 2MM EDGE BAND FERMETAL";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"61,8";"47,6";"48";"12";"CANTO 2 MM";"NA";"NO";"FERMETAL"
"VBAN05-0089-000-0371";"VBAN05";"0089";"000";"0371";"RH MUEBLE LVM TIZIANO ELEVADO 63X48 ARENA";"RH MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 63X48 RFE CANTO 0.45 MM";"MR TIZIANO LIFE WALL MOUNTED VANITY 25INX19IN SFE 0.45MM EDGE BAND";"TIZIANO";"ELEVADO";"LIFE";"63X48";"62,4";"47,6";"48";"18";"CANTO 0.45 MM";"RH";"NO";"NA"
"VBAN05-0089-000-0437";"VBAN05";"0089";"000";"0437";"RH MUEBLE LVM TIZIANO ELEVADO 63X48 SODER/ MALI";"RH MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 63X48 RFE CANTO 0.45 MM";"MR TIZIANO LIFE WALL MOUNTED VANITY 25INX19IN SFE 0.45MM EDGE BAND";"TIZIANO";"ELEVADO";"LIFE";"63X48";"62,4";"47,6";"48";"18";"CANTO 0.45 MM";"RH";"NO";"NA"
"VBAN05-0089-000-0439";"VBAN05";"0089";"000";"0439";"RH MUEBLE LVM TIZIANO ELEVADO 63X48 MITTE/TAMBO";"RH MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 63X48 RFE CANTO 0.45 MM";"MR TIZIANO LIFE WALL MOUNTED VANITY 25INX19IN SFE 0.45MM EDGE BAND";"TIZIANO";"ELEVADO";"LIFE";"63X48";"62,4";"47,6";"48";"18";"CANTO 0.45 MM";"RH";"NO";"NA"
"VBAN05-0089-000-0446";"VBAN05";"0089";"000";"0446";"RH MUEBLE LVM TIZIANO ELEVADO 63X48 BROOKLYN OAK";"RH MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 63X48 RFE CANTO 0.45 MM";"MR TIZIANO LIFE WALL MOUNTED VANITY 25INX19IN SFE 0.45MM EDGE BAND";"TIZIANO";"ELEVADO";"LIFE";"63X48";"62,4";"47,6";"48";"18";"CANTO 0.45 MM";"RH";"NO";"NA"
"VBAN05-0089-MRH-0100";"VBAN05";"0089";"MRH";"0100";"RH MUEBLE LVM TIZIANO ELEVADO 63X48 BLANCO";"RH MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 63X48 RFE CANTO 0.45 MM";"MR TIZIANO LIFE WALL MOUNTED VANITY 25INX19IN SFE 0.45MM EDGE BAND";"TIZIANO";"ELEVADO";"LIFE";"63X48";"62,4";"47,6";"48";"18";"CANTO 0.45 MM";"RH";"NO";"NA"
"VBAN05-0090-000-0452";"VBAN05";"0090";"000";"0452";"RH MUEBLE BASICO ELEVADO LVM 63X48 SIN MANIJAS LONDON";"RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 SIN MANIJAS CANTO 2 MM";"MR BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"62,4";"47,6";"48";"18";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0091-000-0442";"VBAN05";"0091";"000";"0442";"MUEBLE RAYO 40X30 D-ACQUA GRACIA/SIKUANI";"MUEBLE ELEVADO RAYO ESSENTIAL PARA LAVAMANOS 40X30 CANTO 2 MM D-ACQUA";"RAYO ESSENTIAL WALL MOUNTED VANITY 16INX12IN 2MM EDGE BAND D-ACQUA";"RAYO";"ELEVADO";"ESSENTIAL";"40X30";"39,4";"29,6";"40";"5";"CANTO 2 MM";"NA";"NO";"D-ACQUA"
"VBAN05-0092-000-0100";"VBAN05";"0092";"000";"0100";"RH MUEBLE BASICO PISO LVM 63X48 BLANCO";"RH MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM";"MR BASIC ESSENTIAL FREESTANDING VANITY 25INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"A PISO";"ESSENTIAL";"63X48";"62,4";"47,6";"86";"20";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0092-000-0447";"VBAN05";"0092";"000";"0447";"RH MUEBLE BASICO PISO LVM 63X48 CARBONO/BAUDO";"RH MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM";"MR BASIC ESSENTIAL FREESTANDING VANITY 25INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"A PISO";"ESSENTIAL";"63X48";"62,4";"47,6";"86";"20";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0093-000-0100";"VBAN05";"0093";"000";"0100";"RH MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS BLANCO";"RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM";"MR BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0093-000-0387";"VBAN05";"0093";"000";"0387";"RH MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS CHANTILLI";"RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM";"MR BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0093-000-0388";"VBAN05";"0093";"000";"0388";"RH MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS CAPUCCHINO";"RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM";"MR BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0093-000-0405";"VBAN05";"0093";"000";"0405";"RH MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS SODER";"RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM";"MR BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0093-000-0406";"VBAN05";"0093";"000";"0406";"RH MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS AMARETTO";"RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM";"MR BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0093-000-0412";"VBAN05";"0093";"000";"0412";"RH MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS VIENES";"RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM";"MR BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0093-000-0437";"VBAN05";"0093";"000";"0437";"RH MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS SODER/ MALI";"RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM";"MR BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0093-000-0439";"VBAN05";"0093";"000";"0439";"RH MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS MITTE/TAMBO";"RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM";"MR BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0093-000-0442";"VBAN05";"0093";"000";"0442";"RH MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS GRACIA/SIKUANI";"RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM";"MR BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0093-000-0447";"VBAN05";"0093";"000";"0447";"RH MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS CARBONO/BAUDO";"RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM";"MR BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0093-000-0467";"VBAN05";"0093";"000";"0467";"RH MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS CINZA/COBALTO";"RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM";"MR BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0094-000-0100";"VBAN05";"0094";"000";"0100";"MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS BLANCO";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0094-000-0324";"VBAN05";"0094";"000";"0324";;"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0094-000-0437";"VBAN05";"0094";"000";"0437";"MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS SODER/MALI";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0094-000-0439";"VBAN05";"0094";"000";"0439";"MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS MITTE/TAMBO";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0094-000-0442";"VBAN05";"0094";"000";"0442";"MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS GRACIA/ SIKUANI";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0094-000-0447";"VBAN05";"0094";"000";"0447";"MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS CARBONO/BAUDO";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0094-000-0458";"VBAN05";"0094";"000";"0458";"MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS TRIBECA";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0094-000-0467";"VBAN05";"0094";"000";"0467";"MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS CINZA COBALTO";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0094-000-0493";"VBAN05";"0094";"000";"0493";"MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS AUSTRAL";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0094-000-0494";"VBAN05";"0094";"000";"0494";;"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0094-FMT-0437";"VBAN05";"0094";"FMT";"0437";"MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS SODER/MALI-FERMETAL";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM FERMETAL";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND FERMETAL";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"NA";"NO";"FERMETAL"
"VBAN05-0094-FMT-0439";"VBAN05";"0094";"FMT";"0439";"MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS MITTE/TAMBO-FERMETAL";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 SIN MANIJAS CANTO 2 MM FERMETAL";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITHOUT HANDLES 2MM EDGE BAND FERMETAL";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"13";"CANTO 2 MM";"NA";"NO";"FERMETAL"
"VBAN05-0095-000-0100";"VBAN05";"0095";"000";"0100";"MUEBLE A MEDIDA";"MUEBLE PARA LAVAMANOS";"ESSENTIAL VANITY 2MM EDGE BAND";;;"ESSENTIAL";;;;;;"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0096-000-0100";"VBAN05";"0096";"000";"0100";"RH MUEBLE MACAO LIFE LVM 63X48 BLANCO";"RH MUEBLE ELEVADO MACAO LIFE PARA LAVAMANOS 63X48 RFE CANTO 2 MM";"MR MACAO LIFE WALL MOUNTED VANITY 25INX19IN SFE 2MM EDGE BAND";"MACAO";"ELEVADO";"LIFE";"63X48";"62,4";"47,6";"48";"17";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0096-000-0437";"VBAN05";"0096";"000";"0437";"RH MUEBLE MACAO LIFE LVM 63X48 SODER/MALI";"RH MUEBLE ELEVADO MACAO LIFE PARA LAVAMANOS 63X48 RFE CANTO 2 MM";"MR MACAO LIFE WALL MOUNTED VANITY 25INX19IN SFE 2MM EDGE BAND";"MACAO";"ELEVADO";"LIFE";"63X48";"62,4";"47,6";"48";"17";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0096-000-0439";"VBAN05";"0096";"000";"0439";"RH MUEBLE MACAO LIFE LVM 63X48 MITTE/TAMBO";"RH MUEBLE ELEVADO MACAO LIFE PARA LAVAMANOS 63X48 RFE CANTO 2 MM";"MR MACAO LIFE WALL MOUNTED VANITY 25INX19IN SFE 2MM EDGE BAND";"MACAO";"ELEVADO";"LIFE";"63X48";"62,4";"47,6";"48";"17";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0096-000-0442";"VBAN05";"0096";"000";"0442";"RH MUEBLE MACAO LIFE LVM 63X48 GRACIA/SIKUANI";"RH MUEBLE ELEVADO MACAO LIFE PARA LAVAMANOS 63X48 RFE CANTO 2 MM";"MR MACAO LIFE WALL MOUNTED VANITY 25INX19IN SFE 2MM EDGE BAND";"MACAO";"ELEVADO";"LIFE";"63X48";"62,4";"47,6";"48";"17";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0096-000-0458";"VBAN05";"0096";"000";"0458";"RH MUEBLE MACAO LIFE LVM 63X48 TRIBECA";"RH MUEBLE ELEVADO MACAO LIFE PARA LAVAMANOS 63X48 RFE CANTO 2 MM";"MR MACAO LIFE WALL MOUNTED VANITY 25INX19IN SFE 2MM EDGE BAND";"MACAO";"ELEVADO";"LIFE";"63X48";"62,4";"47,6";"48";"17";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0096-000-0484";"VBAN05";"0096";"000";"0484";"RH MUEBLE MACAO LIFE LVM 63X48 SAGANO";"RH MUEBLE ELEVADO MACAO LIFE PARA LAVAMANOS 63X48 RFE CANTO 2 MM";"MR MACAO LIFE WALL MOUNTED VANITY 25INX19IN SFE 2MM EDGE BAND";"MACAO";"ELEVADO";"LIFE";"63X48";"62,4";"47,6";"48";"17";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0097-000-0458";"VBAN05";"0097";"000";"0458";"MUEBLE BASICO PISO MANIJA NEGRA LVM 48X38 TRIBECA";"MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL FREESTANDING VANITY 19INX15IN WITH HANDLES 2MM EDGE BAND";"BASICO";"A PISO";"ESSENTIAL";"48X38";"47,4";"37,4";"86";"14";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0098-000-0100";"VBAN05";"0098";"000";"0100";"RH MUEBLE LVM TIZIANO ELEVADO 124X48 BLANCO";"RH MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 124X48 RFE CANTO 0.45 MM";"MR TIZIANO LIFE WALL MOUNTED VANITY 49INX19IN SFE 0.45MM EDGE BAND";"TIZIANO";"ELEVADO";"LIFE";"124X48";"123,4";"47,2";"48";"28";"CANTO 0.45 MM";"RH";"NO";"NA"
"VBAN05-0098-000-0439";"VBAN05";"0098";"000";"0439";"RH MUEBLE LVM TIZIANO ELEVADO 124X48 MITTE/ TAMBO";"RH MUEBLE ELEVADO TIZIANO LIFE PARA LAVAMANOS 124X48 RFE CANTO 0.45 MM";"MR TIZIANO LIFE WALL MOUNTED VANITY 49INX19IN SFE 0.45MM EDGE BAND";"TIZIANO";"ELEVADO";"LIFE";"124X48";"123,4";"47,2";"48";"28";"CANTO 0.45 MM";"RH";"NO";"NA"
"VBAN05-0099-000-0100";"VBAN05";"0099";"000";"0100";"RH MUEBLE BASICO PISO LVM 79X48 BLANCO";"RH MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 79X48 CON MANIJAS CANTO 2 MM";"MR BASIC ESSENTIAL FREESTANDING VANITY 31INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"A PISO";"ESSENTIAL";"79X48";"78,4";"47,6";"86";"22";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0099-000-0447";"VBAN05";"0099";"000";"0447";"RH MUEBLE BASICO PISO LVM 79X48 CARBONO/BAUDO";"RH MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 79X48 CON MANIJAS CANTO 2 MM";"MR BASIC ESSENTIAL FREESTANDING VANITY 31INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"A PISO";"ESSENTIAL";"79X48";"78,4";"47,6";"86";"22";"CANTO 2 MM";"RH";"NO";"NA"
"VBAN05-0100-000-0100";"VBAN05";"0100";"000";"0100";"MUEBLE BASICO ELEVADO LVM 79X48 SIN MANIJAS BLANCO";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 79X48 SIN MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 31INX19IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"79X48";"78,4";"47,6";"48";"14,5";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0100-000-0437";"VBAN05";"0100";"000";"0437";"MUEBLE BASICO ELEVADO LVM 79X48 SIN MANIJAS SODER/MALI";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 79X48 SIN MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 31INX19IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"79X48";"78,4";"47,6";"48";"14,5";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0100-000-0439";"VBAN05";"0100";"000";"0439";"MUEBLE BASICO ELEVADO LVM 79X48 SIN MANIJAS MITTE/ TAMBO";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 79X48 SIN MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 31INX19IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"79X48";"78,4";"47,6";"48";"14,5";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0100-000-0442";"VBAN05";"0100";"000";"0442";"MUEBLE BASICO ELEVADO LVM 79X48 SIN MANIJAS GRACIA/ SIKUANI";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 79X48 SIN MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 31INX19IN WITHOUT HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"79X48";"78,4";"47,6";"48";"14,5";"CANTO 2 MM";"NA";"NO";"NA"
