file_full_path,file_base_name,parsed_designation,parsed_product_name,parsed_commercial_measure,parsed_accessory_text,parsed_line,parsed_special_label,match_count,matched_reference_id,matched_family_code,matched_reference_code,existing_isometric_asset_id,existing_isometric_path,conflict_reference_ids,conflict_file_base_names,conflict_group_code,action,notes
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Da Vinci LVM 48X43.svg,Mueble a piso Da Vinci LVM 48X43,A PISO,DA VINCI,48X43,NA,NA,NA,2,2c63cc02-6db6-4690-a36a-dffb2df697cd,BAN05,0125,,,,,,APPLIED,mode=special_label_base_single_accessory; asset_id=888299f8-7546-41e3-8857-29b8de251002; updated_refs=2; overwritten_refs=1; skipped_refs=0; hash=692f01aeed74a87e333553be2a8bc79bc0d90ce7dd58a3993c414788ba67f770
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Eurocaribe LVM 44.5X43.5.svg,Mueble a piso Eurocaribe LVM 44.5X43.5,A PISO,Eurocaribe,44.5X43.5,NA,NA,NA,1,55d0747b-a2af-424c-9408-4164f36bd7fc,BAN05,0138,9d25b0f5-e215-453a-9f6a-0c2b0ee5fb57,https://nbifmxggfusipomspoly.supabase.co/storage/v1/object/public/assets/assets/989f63d1-eb07-4711-ac83-b0c852852957.svg,,,,ERROR,"EPERM: operation not permitted, open 'C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Eurocaribe LVM 44.5X43.5.svg'"
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Otus LVM 63X48.svg,Mueble a piso Otus LVM 63X48,A PISO,Otus,63X48,NA,NA,NA,2,c74c1a36-0e91-4ade-aa4e-782d61166bfe,BAN12,0087,457472f0-cf49-48af-8e4c-837f0210f480,https://nbifmxggfusipomspoly.supabase.co/storage/v1/object/public/assets/assets/0b73e769-447d-46f7-9e58-b1590b17de16.svg,,,,ERROR,"EPERM: operation not permitted, open 'C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Otus LVM 63X48.svg'"
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Valdez LVM 48x43.svg,Mueble a piso Valdez LVM 48x43,A PISO,Valdez,48X43,NA,NA,NA,3,cff9c5dd-b254-4803-b600-752bd437baca,BAN05,0039,cdba947f-1449-46c8-a2bc-885c4f8e9f85,https://nbifmxggfusipomspoly.supabase.co/storage/v1/object/public/assets/assets/f89530d5-fa0f-4cbe-b4f3-b99e116241cb.svg,,,,ERROR,"EPERM: operation not permitted, open 'C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Valdez LVM 48x43.svg'"
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Valdez LVM 63x48.svg,Mueble a piso Valdez LVM 63x48,A PISO,Valdez,63X48,NA,NA,NA,3,aa47233a-a9bc-40c1-89b1-67f41a26068f,BAN05,0117,45d93b9e-d1c5-4cb2-ab75-1371e0d9fc12,https://nbifmxggfusipomspoly.supabase.co/storage/v1/object/public/assets/assets/d3a7489e-a233-487d-bc55-b1a996bdd189.svg,,,,ERROR,"EPERM: operation not permitted, open 'C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Valdez LVM 63x48.svg'"
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Vega LVM 63X48.svg,Mueble a piso Vega LVM 63X48,A PISO,Vega,63X48,NA,NA,NA,1,1e11e955-22c2-4832-9887-9d1994e9f2b5,BAN05,0132,a2d70675-a103-4dba-9f32-aef5b6b3976e,https://nbifmxggfusipomspoly.supabase.co/storage/v1/object/public/assets/assets/69afa894-a93b-41e2-aa3a-c2112a80976a.svg,,,,ERROR,"EPERM: operation not permitted, open 'C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Vega LVM 63X48.svg'"
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 122X47 sin manijas.svg,Mueble elevado Básico LVM 122X47 sin manijas,ELEVADO,Básico,122X47,NA,NA,NA,1,40eda6a7-9e1a-4b36-866f-8ef8dbbb3af4,BAN24,0016,,,,,,ERROR,"EPERM: operation not permitted, open 'C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 122X47 sin manijas.svg'"
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 40X30 con manijas.svg,Mueble elevado Básico LVM 40X30 con manijas,ELEVADO,Básico,40X30,CON MANIJAS,NA,NA,1,7d126220-fedb-4f85-939d-3604fe38a9fc,BAN05,0113,08172398-ea41-4316-8fd1-fccb4bf0abd4,https://nbifmxggfusipomspoly.supabase.co/storage/v1/object/public/assets/assets/f9021bee-0740-4bd1-ab90-dfa327f49af1.svg,,,,ERROR,"EPERM: operation not permitted, open 'C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 40X30 con manijas.svg'"
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 40X30 sin manijas.svg,Mueble elevado Básico LVM 40X30 sin manijas,ELEVADO,Básico,40X30,NA,NA,NA,2,ef14323d-55aa-47c6-97b8-2286bd49c2e8,BAN05,0112,29a0a643-e9dc-485a-b136-f9072498a7f8,https://nbifmxggfusipomspoly.supabase.co/storage/v1/object/public/assets/assets/b7788a01-70a4-41aa-b1cc-cfafa5f25e77.svg,,,,ERROR,"EPERM: operation not permitted, open 'C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 40X30 sin manijas.svg'"
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 48X38 con manija.svg,Mueble elevado Básico LVM 48X38 con manija,ELEVADO,Básico,48X38,CON MANIJAS,NA,NA,6,6d48d031-b645-4df6-97ec-7920829deadc,BAN05,0022,,,,,,APPLIED,mode=special_label_base_accessory_filter; asset_id=dda9cd53-722e-4713-ace5-214a69c16087; updated_refs=6; overwritten_refs=6; skipped_refs=0; hash=095dedb2a6d1c7ae5bb42b43e09dec97085c00efa1cb434a3e9581854667e90f
