2197;2197;2016-04-12 00:00:00.000;0;20;9771;0;113;BAN05-Muebles Lavam;CBAN05-0002-000-0390;MUEBLE BASICO PISO LVM 48X38 CEDRO;PN800049527-01;INVAL S A;MP-01;UN;303.000000;65835.000000;$;0.000000;72794.140000;0.000000;0.000000;6959.140000;22056624.420000;0.000000;Y;72794.140000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
2452;2452;2016-12-21 00:00:00.000;3;20;11478;0;113;BAN05-Muebles Lavam;CBAN05-0002-000-0392;MUEBLE BASICO PISO LVM 48X38 WENGUE;PN800049527-01;INVAL S A;MP-01;UN;40.000000;65835.000000;$;0.000000;72550.860000;0.000000;0.000000;6715.860000;2902034.400000;0.000000;Y;72550.860000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
2355;2355;2016-09-21 00:00:00.000;7;20;10795;0;113;BAN05-Muebles Lavam;CBAN05-0002-000-0397;MUEBLE BASICO PISO LVM 48X38 NUEZ;PN800049527-01;INVAL S A;MP-01;UN;50.000000;65835.000000;$;0.000000;72311.020000;0.000000;0.000000;6476.020000;3615551.000000;0.000000;Y;72311.020000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
2566;2566;2017-05-08 00:00:00.000;3;20;12179;0;113;BAN05-Muebles Lavam;CBAN05-0002-000-0402;MUEBLE BASICO PISO LVM 48X38 BRIXTON;PN800049527-01;INVAL S A;MP-01;UN;358.000000;69127.000000;$;0.000000;76270.790000;0.000000;0.000000;7143.790000;27304942.820000;0.000000;Y;76270.790000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
2256;2256;2016-06-10 00:00:00.000;5;20;10168;0;113;BAN05-Muebles Lavam;CBAN05-0003-000-0100;MUEBLE BASICO ELEVADO LVM 48X43 BLANCO;PN800049527-01;INVAL S A;MP-01;UN;100.000000;58640.000000;$;0.000000;61064.630000;0.000000;0.000000;2424.630000;6106463.000000;0.000000;Y;61064.630000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
1616;1616;2014-12-19 00:00:00.000;0;20;5799;0;113;BAN05-Muebles Lavam;CBAN05-0003-000-0364;MUEBLE BASICO ELEVADO LVM 48X43 HUMO;PN800049527-01;INVAL S A;MP-01;UN;1.000000;50232.000000;$;0.000000;53083.000000;0.000000;0.000000;2851.000000;53083.000000;0.000000;Y;53083.000000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
2476;2476;2017-01-25 00:00:00.000;0;20;11678;0;113;BAN05-Muebles Lavam;CBAN05-0003-000-0372;MUEBLE BASICO ELEVADO LVM 48X43 SALVAJE;PN800049527-01;INVAL S A;MP-01;UN;23.000000;58640.000000;$;0.000000;60869.940000;0.000000;0.000000;2229.940000;1400008.620000;0.000000;Y;60869.940000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
2356;2356;2016-09-21 00:00:00.000;7;20;10797;0;113;BAN05-Muebles Lavam;CBAN05-0003-000-0392;MUEBLE BASICO ELEVADO LVM 48X43 WENGUE;PN800049527-01;INVAL S A;MP-01;UN;29.000000;58640.000000;$;0.000000;60773.520000;0.000000;0.000000;2133.520000;1762432.080000;0.000000;Y;60773.520000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
1003;1003;2014-02-24 00:00:00.000;0;20;3078;0;113;BAN05-Muebles Lavam;CBAN05-0003-000-0394;MUEBLE BASICO ELEVADO LVM 48X43 ROBLE CLARO;PN800049527-01;INVAL S A;MP-01;UN;42.000000;50232.000000;$;0.000000;52429.570000;0.000000;0.000000;2197.570000;2202041.940000;0.000000;Y;52429.570000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
2344;2344;2016-09-05 00:00:00.000;3;20;10687;0;113;BAN05-Muebles Lavam;CBAN05-0003-000-0402;MUEBLE BASICO ELEVADO LVM 48X43 BRIXTON;PN800049527-01;INVAL S A;MP-01;UN;30.000000;58640.000000;$;0.000000;61318.700000;0.000000;0.000000;2678.700000;1839561.000000;0.000000;Y;61318.700000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
2129;2129;2016-02-16 00:00:00.000;10;20;9384;4;113;BAN05-Muebles Lavam;CBAN05-0004-000-0372;MUEBLE VIDRIO ELEVADO LVM 48X43 SALVAJE;PN800049527-01;INVAL S A;MP-01;UN;30.000000;78200.000000;$;0.000000;81041.560000;0.000000;0.000000;2841.560000;2431246.800000;0.000000;Y;81041.560000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
2368;2368;2016-09-29 00:00:00.000;0;20;10843;0;113;BAN05-Muebles Lavam;CBAN05-0004-000-0392;MUEBLE VIDRIO ELEVADO LVM 48X43 WENGUE;PN800049527-01;INVAL S A;MP-01;UN;30.000000;85240.000000;$;0.000000;88845.570000;0.000000;0.000000;3605.570000;2665367.100000;0.000000;Y;88845.570000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
1650;1650;2015-01-19 00:00:00.000;1;20;5958;0;113;BAN05-Muebles Lavam;CBAN05-0004-000-0393;MUEBLE VIDRIO ELEVADO LVM 48X43 CAOBA;PN800049527-01;INVAL S A;MP-01;UN;1.000000;77400.000000;$;0.000000;80566.970000;0.000000;0.000000;3166.970000;80566.970000;0.000000;Y;80566.970000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
