file_full_path,file_base_name,parsed_designation,parsed_product_name,parsed_commercial_measure,parsed_accessory_text,parsed_line,parsed_special_label,match_count,matched_reference_id,matched_family_code,matched_reference_code,existing_isometric_asset_id,existing_isometric_path,conflict_reference_ids,conflict_file_base_names,conflict_group_code,action,notes
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble a piso Eurocaribe LVM 44.5X43.5.svg,Mueble a piso Eurocaribe LVM 44.5X43.5,A PISO,Eurocaribe,44.5X43.5,NA,NA,NA,1,55d0747b-a2af-424c-9408-4164f36bd7fc,BAN05,0138,,,,,,APPLIED,mode=special_label_base_single_accessory; asset_id=fb80a27b-12ea-453f-87ac-f30161d7c97b; updated_refs=1; overwritten_refs=1; skipped_refs=0; hash=7efaad9eaf177ef2ffee2f844aab47920d70e131ff5ff50afc680421f4b243ab
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble a piso Otus LVM 63X48.svg,Mueble a piso Otus LVM 63X48,A PISO,Otus,63X48,NA,NA,NA,2,c74c1a36-0e91-4ade-aa4e-782d61166bfe,BAN12,0087,,,,,,APPLIED,mode=special_label_base_single_accessory; asset_id=1c808b58-3b0f-4ad9-9174-cd3a2b2bb61c; updated_refs=2; overwritten_refs=1; skipped_refs=0; hash=d519100e12a196e076254eb836ef4e2fb6af3d03cfb8947f8437aca9908dd95c
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble a piso Valdez LVM 48x43.svg,Mueble a piso Valdez LVM 48x43,A PISO,Valdez,48X43,NA,NA,NA,3,cff9c5dd-b254-4803-b600-752bd437baca,BAN05,0039,,,,,,APPLIED,mode=special_label_base_single_accessory; asset_id=e6ddbe0e-f5ce-411c-95ff-03d7733b7e00; updated_refs=3; overwritten_refs=2; skipped_refs=0; hash=02abd5ac7848f67d6f2a459ca9cd4cf651bd414b7fe2001df3ecf70bf7cb0b84
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble a piso Valdez LVM 63x48.svg,Mueble a piso Valdez LVM 63x48,A PISO,Valdez,63X48,NA,NA,NA,3,aa47233a-a9bc-40c1-89b1-67f41a26068f,BAN05,0117,,,,,,APPLIED,mode=special_label_base_single_accessory; asset_id=bc6183f0-b87b-49ec-9a8e-14e98b05971f; updated_refs=3; overwritten_refs=2; skipped_refs=0; hash=a7cf8b8eefeee596ba16631ab38c141572ff9c065da8e8cf97daec576002ae3b
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble a piso Vega LVM 63X48.svg,Mueble a piso Vega LVM 63X48,A PISO,Vega,63X48,NA,NA,NA,1,1e11e955-22c2-4832-9887-9d1994e9f2b5,BAN05,0132,,,,,,APPLIED,mode=special_label_base_single_accessory; asset_id=f9b807ca-1153-40d4-b033-203bb65417a7; updated_refs=1; overwritten_refs=1; skipped_refs=0; hash=3cdc3a7746fe53f439f46c65416463ac9c021018506a215aaeb74b0cacbbe5ca
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Básico LVM 122X47 sin manijas.svg,Mueble elevado Básico LVM 122X47 sin manijas,ELEVADO,Básico,122X47,NA,NA,NA,1,40eda6a7-9e1a-4b36-866f-8ef8dbbb3af4,BAN24,0016,,,,,,APPLIED,mode=special_label_base_single_accessory; asset_id=782c310a-30df-4b5b-80fb-8d430fcca1d9; updated_refs=1; overwritten_refs=0; skipped_refs=0; hash=882ac9b655b1be71d56f79cd562ff44bd22d6325832925b10f5d85aa2249b2a2
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Básico LVM 40X30 con manijas.svg,Mueble elevado Básico LVM 40X30 con manijas,ELEVADO,Básico,40X30,CON MANIJAS,NA,NA,1,7d126220-fedb-4f85-939d-3604fe38a9fc,BAN05,0113,,,,,,APPLIED,mode=special_label_base_accessory_filter; asset_id=0f02ca12-586d-48da-9ee3-eb3d70e2756a; updated_refs=1; overwritten_refs=1; skipped_refs=0; hash=25ef2deae51dc0fcb89168b1cbccac784a4bb86d7b51670b8aa2de6164d35054
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Básico LVM 40X30 sin manijas.svg,Mueble elevado Básico LVM 40X30 sin manijas,ELEVADO,Básico,40X30,NA,NA,NA,2,ef14323d-55aa-47c6-97b8-2286bd49c2e8,BAN05,0112,,,,,,APPLIED,mode=special_label_base_accessory_filter; asset_id=d1087b87-cd58-485c-9dec-ca7d1d27f9f9; updated_refs=2; overwritten_refs=2; skipped_refs=0; hash=1fc4eebf824515525555d02760639e5073e8207b459e4c81f6db0a8570153bda
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Básico LVM 48X38 con manija.svg,Mueble elevado Básico LVM 48X38 con manija,ELEVADO,Básico,48X38,CON MANIJAS,NA,NA,6,6d48d031-b645-4df6-97ec-7920829deadc,BAN05,0022,,,,,,APPLIED,mode=special_label_base_accessory_filter; asset_id=dda9cd53-722e-4713-ace5-214a69c16087; updated_refs=6; overwritten_refs=6; skipped_refs=0; hash=095dedb2a6d1c7ae5bb42b43e09dec97085c00efa1cb434a3e9581854667e90f
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Básico LVM 48X38 sin manijas.svg,Mueble elevado Básico LVM 48X38 sin manijas,ELEVADO,Básico,48X38,NA,NA,NA,3,3cfd4665-0903-4f7e-bf75-f469580aea69,BAN05,0121,,,,,,APPLIED,mode=special_label_base_accessory_filter; asset_id=7fddc66a-0235-47bf-8167-3c79d91395fd; updated_refs=3; overwritten_refs=3; skipped_refs=0; hash=64ae130b7a05463d9297fce5becd6d8e6e370e5cd5ebe53f12797e7f88466b7c
