row_number,validation_status,validation_errors,validation_warnings,source_observation,import_action,existing_in_supabase,exclusion_reason,SKU_COMPLETE,FAMILY_CODE,REF_CODE,VERSION_CODE,COLOR_CODE,SAP_DESCRIPTION,PRODUCT_TYPE,DESIGNATION,PRODUCT_NAME,WIDTH_CM,DEPTH_CM,HEIGHT_CM,WEIGHT_KG,UNIT_OF_MEASURE,REF_ATTR_rh,REF_ATTR_carb2,REF_ATTR_bisagras,REF_ATTR_canto_puertas,REF_ATTR_accessory_text,REF_ATTR_armado_con_lvm,REF_ATTR_door_color_text,REF_ATTR_product_type,REF_ATTR_assembled_flag,VERSION_ATTR_isometric_path,VERSION_ATTR_isometric_asset_id,VERSION_ATTR_private_label_flag,VERSION_ATTR_private_label_client_id,VERSION_ATTR_private_label_client_name,VERSION_ATTR_accessory_text,RH,CARB2,PUR,RH_SOURCE,CARB2_SOURCE,PUR_SOURCE,RH_VALIDATION,CARB2_VALIDATION,PUR_VALIDATION,NAME_ES_CURRENT_OR_GENERATED,NAME_EN_CURRENT_OR_GENERATED,NAME_ES_REQUIRES_REVIEW,NAME_EN_REQUIRES_REVIEW,NAME_GENERATION_NOTES,ISOMETRIC_SOURCE_PATH,ISOMETRIC_TARGET_PATH,ISOMETRIC_ASSET_ID,ISOMETRIC_STATUS,ISOMETRIC_NOTES,existing_family_id,existing_product_reference_id,existing_product_version_id,existing_color_id,matched_reference_base,matched_version,matched_color,create_family,create_reference,create_version,create_color,create_sku,reuse_existing_family,reuse_existing_reference,reuse_existing_version,reuse_existing_color
110,EXISTENTE,,,,IGNORAR,SI,,VBAN12-0069-000-0100,BAN12,0069,000,0100,RH MUEBLE SOPORTE Y ESTRUCTURA CON ENTREPA�O GODAI LVM 48X43 BLANCO,MUEBLE,,,,,,,UN,RH,NA,NA,CANTO 2 MM,NA,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,GODAI,,NO,SI,,,,,VINCULADO,,,abb0aa0b-8aa4-49de-bb5d-f7a20b99d589,bc8b60ca-1520-4aa3-aa6d-45fba60dc555,,0069,000,0100,,NO,NO,,NO,SI,SI,SI,SI
111,EXISTENTE,,,,IGNORAR,SI,,VBAN12-0070-000-0100,BAN12,0070,000,0100,RH MUEBLE SOPORTE Y ESTRUCTURA GODAI LVM 63X48 BLANCO,MUEBLE,,,,,,,UN,RH,NA,NA,CANTO 2 MM,NA,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,GODAI,,NO,SI,,,,,VINCULADO,,,c7156630-3bc9-453a-a5d3-f8c5c3cebab9,d872b735-b44e-48b5-a63b-bdcedda95a68,,0070,000,0100,,NO,NO,,NO,SI,SI,SI,SI
112,EXISTENTE,,,,IGNORAR,SI,,VBAN12-0071-000-0100,BAN12,0071,000,0100,RH CUBO-CAJON GODAI 63X48 CIERRE SUAVE CANTO 2MM BLANCO,,,,,,,,UN,RH,NA,NA,CANTO 2 MM,RFE CIERRE LENTO,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,GODAI,,NO,SI,,,,,VINCULADO,,,cb592aa6-502c-47af-adda-4c0096f5d8c1,aced9120-624b-40b8-bf3c-ff9944aaec89,,0071,000,0100,,NO,NO,,NO,SI,SI,SI,SI
113,EXISTENTE,,,,IGNORAR,SI,,VBAN12-0072-000-0100,BAN12,0072,000,0100,RH MUEBLE SOPORTE GODAI 63X48 BLANCO,MUEBLE,,,,,,,UN,RH,NA,NA,CANTO 2 MM,NA,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,GODAI,,NO,SI,,,,,VINCULADO,,,18dd3703-73f5-47ff-9c52-0d231360dd9f,6383934f-39d3-42e8-a2a0-41f78179f603,,0072,000,0100,,NO,NO,,NO,SI,SI,SI,SI
114,EXISTENTE,,,,IGNORAR,SI,,VBAN12-0073-000-0100,BAN12,0073,000,0100,RH CUBO GODAI 63X48 BLANCO,,,,,,,,UN,RH,NA,NA,CANTO 2 MM,NA,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,GODAI,,NO,SI,,,,,VINCULADO,,,1348f440-ffb3-4ce6-b0d1-c08aea48bfa1,0e909bf9-affa-4cce-81f7-8b34d2b483b3,,0073,000,0100,,NO,NO,,NO,SI,SI,SI,SI
115,EXISTENTE,,,,IGNORAR,SI,,VBAN12-0074-000-0100,BAN12,0074,000,0100,RH MUEBLE SOPORTE Y ESTRUCTURA CON ENTREPA�O GODAI LVM 63X48 BLANCO,MUEBLE,,,,,,,UN,RH,NA,NA,CANTO 2 MM,NA,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,GODAI,,NO,SI,,,,,VINCULADO,,,5729a3a2-d5e9-49ae-8b11-fdc2e39e0dea,779114dd-d8dd-45d0-accb-44766262b0cb,,0074,000,0100,,NO,NO,,NO,SI,SI,SI,SI
116,EXISTENTE,,,,IGNORAR,SI,,VBAN12-0076-000-0100,BAN12,0076,000,0100,RH MUEBLE SOPORTE Y ESTRUCTURA CON ENTREPA�O GODAI LVM 79X48 BLANCO,MUEBLE,,,,,,,UN,RH,NA,NA,CANTO 2 MM,NA,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,GODAI,,NO,SI,,,,,VINCULADO,,,3ba8343f-e903-4170-a793-09aa73488c4a,f4faf73a-6abe-4bf2-a70f-a1347f3540d2,,0076,000,0100,,NO,NO,,NO,SI,SI,SI,SI
117,EXISTENTE,,,,IGNORAR,SI,,VBAN12-0077-000-0100,BAN12,0077,000,0100,RH CUBO-CAJON GODAI 79X48 CIERRE SUAVE CANTO 2MM BLANCO,,,,,,,,UN,RH,NA,NA,CANTO 2 MM,RFE CIERRE LENTO,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,GODAI,,NO,SI,,,,,VINCULADO,,,faf73d91-c876-48a1-a02b-8515c51b8a08,6c4d4fc3-ce0f-4fec-9c47-b5f298363743,,0077,000,0100,,NO,NO,,NO,SI,SI,SI,SI
118,EXISTENTE,,,,IGNORAR,SI,,VBAN12-0078-000-0100,BAN12,0078,000,0100,RH MUEBLE SOPORTE GODAI 79X48 BLANCO,MUEBLE,,,,,,,UN,RH,NA,NA,CANTO 2 MM,NA,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,GODAI,,NO,SI,,,,,VINCULADO,,,4edb427e-97a7-47ac-bba5-227beb9e10a8,bded4a24-7b10-43b5-88de-48da2efe64cc,,0078,000,0100,,NO,NO,,NO,SI,SI,SI,SI
119,EXISTENTE,,,,IGNORAR,SI,,VBAN12-0079-000-0100,BAN12,0079,000,0100,RH CUBO GODAI 79X48 BLANCO,,,,,,,,UN,RH,NA,NA,CANTO 2 MM,NA,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,GODAI,,NO,SI,,,,,VINCULADO,,,e8da5cb0-7d9f-43b3-90d1-e0e7171c7c68,94365101-a4f9-4ab6-939e-512ac28efa57,,0079,000,0100,,NO,NO,,NO,SI,SI,SI,SI
