row_number,validation_status,validation_errors,validation_warnings,source_observation,import_action,existing_in_supabase,exclusion_reason,SKU_COMPLETE,FAMILY_CODE,REF_CODE,VERSION_CODE,COLOR_CODE,SAP_DESCRIPTION,PRODUCT_TYPE,DESIGNATION,PRODUCT_NAME,WIDTH_CM,DEPTH_CM,HEIGHT_CM,WEIGHT_KG,UNIT_OF_MEASURE,REF_ATTR_rh,REF_ATTR_carb2,REF_ATTR_bisagras,REF_ATTR_canto_puertas,REF_ATTR_accessory_text,REF_ATTR_armado_con_lvm,REF_ATTR_door_color_text,REF_ATTR_product_type,REF_ATTR_assembled_flag,VERSION_ATTR_isometric_path,VERSION_ATTR_isometric_asset_id,VERSION_ATTR_private_label_flag,VERSION_ATTR_private_label_client_id,VERSION_ATTR_private_label_client_name,VERSION_ATTR_accessory_text,RH,CARB2,PUR,RH_SOURCE,CARB2_SOURCE,PUR_SOURCE,RH_VALIDATION,CARB2_VALIDATION,PUR_VALIDATION,NAME_ES_CURRENT_OR_GENERATED,NAME_EN_CURRENT_OR_GENERATED,NAME_ES_REQUIRES_REVIEW,NAME_EN_REQUIRES_REVIEW,NAME_GENERATION_NOTES,ISOMETRIC_SOURCE_PATH,ISOMETRIC_TARGET_PATH,ISOMETRIC_ASSET_ID,ISOMETRIC_STATUS,ISOMETRIC_NOTES,existing_family_id,existing_product_reference_id,existing_product_version_id,existing_color_id,matched_reference_base,matched_version,matched_color,create_family,create_reference,create_version,create_color,create_sku,reuse_existing_family,reuse_existing_reference,reuse_existing_version,reuse_existing_color
140,PENDIENTE,,,,CREAR,NO,,VCOC01-0041-000-1306,COC01,0041,000,1306,MUEBLE SUPERIOR COCINA AMBAR 180CM PARA CAMPANA CANTO 2MM CARBONO/BLANCO RH,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
141,PENDIENTE,,,,CREAR,NO,,VCOC01-0043-000-0100,COC01,0043,000,0100,MUEBLE INFERIOR COCINA AMBAR 180x60CM CANTO 2MM 1C 5P BLANCO,MUEBLE,,,,,,,UN,false,false,,,,,,MUEBLE,,,,,,,,false,false,false,,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
142,PENDIENTE,,,,CREAR,NO,,VCOC01-0043-000-1306,COC01,0043,000,1306,MUEBLE INFERIOR COCINA AMBAR 180X60CM CANTO 2MM 1C 5P CARBONO/BLANCO RH,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
143,PENDIENTE,,,,CREAR,NO,,VCOC01-0044-000-0100,COC01,0044,000,0100,RH MUEBLE SUPERIOR COCINA AMBAR 180CM PARA CAMPANA CANTO 2MM BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
144,PENDIENTE,,,,CREAR,NO,,VCOC01-0044-KND-0100,COC01,0044,KND,0100,RH MUEBLE SUPERIOR COCINA AMBAR 180CM PARA CAMPANA CANTO 2MM BLANCO-KENNEDY,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
145,PENDIENTE,,,,CREAR,NO,,VCOC01-0045-000-0100,COC01,0045,000,0100,RH MUEBLE INFERIOR COCINA AMBAR 180x55CM CANTO 2MM BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
146,PENDIENTE,,,,CREAR,NO,,VCOC01-0050-MRH-0100,COC01,0050,MRH,0100,RH MUEBLE INFERIOR COCINA AMBAR 150x60CM CANTO 2MM 1C 4P BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
147,PENDIENTE,,,,CREAR,NO,,VCOC01-0050-RFM-0100,COC01,0050,RFM,0100,RH MUEBLE INFERIOR COCINA AMBAR 150X60CM CANTO 2MM 1C 4P BLANCO-FERMETAL,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
148,EXISTENTE,,,,IGNORAR,SI,,VCOC01-0060-000-0100,COC01,0060,000,0100,RH MUEBLE INFERIOR COCINA AMBAR 180x60CM CANTO 2MM 1C 5P BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS + RFE,,,MUEBLE,false,,,false,,NA,,true,false,false,DESCRIPCION,,,,,,AMBAR,,NO,SI,,,,,VINCULADO,,,c638135c-8b7c-491b-ac13-2ab8c7964050,60b813c1-7a07-477e-a5a9-068e1b19576c,,0060,000,0100,,NO,NO,,NO,SI,SI,SI,SI
149,PENDIENTE,,,,CREAR,NO,,VCOC01-0060-KND-0100,COC01,0060,KND,0100,RH MUEBLE INFERIOR COCINA AMBAR 180x60CM CANTO 2MM 1C 5P BLANCO-KENNEDY,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
150,PENDIENTE,,,,CREAR,NO,,VCOC01-0060-RFM-0100,COC01,0060,RFM,0100,RH MUEBLE INFERIOR COCINA AMBAR 180X60CM CANTO 2MM 1C 5P BLANCO-FERMETAL,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
151,PENDIENTE,,,,CREAR,NO,,VCOC01-0061-000-0100,COC01,0061,000,0100,RH MUEBLE INFERIOR COCINA AMBAR 150X55CM CANTO 2MM 1C 4P BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
152,PENDIENTE,,,,CREAR,NO,,VCOC01-0062-000-0100,COC01,0062,000,0100,RH MUEBLE SUPERIOR COCINA AMBAR 150CM PARA CAMPANA CANTO 2MM BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
153,PENDIENTE,,,,CREAR,NO,,VCOC01-0063-000-0100,COC01,0063,000,0100,RH MUEBLE INFERIOR COCINA AMBAR 150x60CM CANTO 2MM 1C 4P BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
154,PENDIENTE,,,,CREAR,NO,,VCOC01-0064-000-0100,COC01,0064,000,0100,MUEBLE BARRA COCINA AMBAR 120x55CM CANTO 2MM BLANCO,MUEBLE,,,,,,,UN,false,false,,,,,,MUEBLE,,,,,,,,false,false,false,,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
155,PENDIENTE,,,,CREAR,NO,,VCOC01-0065-000-0100,COC01,0065,000,0100,RH MUEBLE BARRA COCINA AMBAR 120x55CM CANTO 2MM BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
156,PENDIENTE,,,,CREAR,NO,,VCOC01-0065-RFM-0100,COC01,0065,RFM,0100,RH MUEBLE BARRA COCINA AMBAR 120X55CM CANTO 2MM BLANCO-FERMETAL,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
157,PENDIENTE,,,,CREAR,NO,,VCOC01-0066-000-0100,COC01,0066,000,0100,RH MUEBLE ALACENA AMBAR 60CM CANTO 2MM BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
158,PENDIENTE,,,,CREAR,NO,,VCOC01-0067-000-0100,COC01,0067,000,0100,RH MUEBLE ALACENA AMBAR 60CM CANTO 2MM BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
159,PENDIENTE,,,,CREAR,NO,,VCOC01-0067-RFM-0100,COC01,0067,RFM,0100,RH MUEBLE ALACENA AMBAR 60CM CANTO 2MM BLANCO-FERMETAL,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
160,PENDIENTE,,,,CREAR,NO,,VCOC01-0074-MRH-0100,COC01,0074,MRH,0100,RH MUEBLE INFERIOR COCINA VIVE 150X55 CON ESPALDAR BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
161,PENDIENTE,,,,CREAR,NO,,VCOC01-0075-MRH-0100,COC01,0075,MRH,0100,RH MBLE SUP COCINA GEOS 210X60CM MODULO P BASCULANTES 53X36.5CM BLANCO,,,,,,,,UN,true,false,,,,,,,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
162,PENDIENTE,,,,CREAR,NO,,VCOC01-0076-MRH-0100,COC01,0076,MRH,0100,RH MBLE SUP COCINA GEOS 210X60CM MODULO MOVIL 30X36.5CM BLANCO,,,,,,,,UN,true,false,,,,,,,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
163,PENDIENTE,,,,CREAR,NO,,VCOC01-0077-MRH-0100,COC01,0077,MRH,0100,RH MBLE SUP COCINA GEOS 210X60CM MODULO LOCERO 64X36.5CM BLANCO,,,,,,,,UN,true,false,,,,,,,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
164,PENDIENTE,,,,CREAR,NO,,VCOC01-0078-MRH-0100,COC01,0078,MRH,0100,RH MBLE SUP COCINA GEOS 210X60CM MODULO CUBO AUXILIAR 83X20CM BLANCO,,,,,,,,UN,true,false,,,,,,,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
165,PENDIENTE,,,,CREAR,NO,,VCOC01-0079-MRH-0100,COC01,0079,MRH,0100,RH MBLE SUP COCINA GEOS 210X60CM MODULO PARA CAMPANA 630X45CM BLANCO,,,,,,,,UN,true,false,,,,,,,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
166,PENDIENTE,,,,CREAR,NO,,VCOC01-0080-MRH-0100,COC01,0080,MRH,0100,RH MBLE INF COCINA GEOS 210X60CM MODULO LAVAPLATOS 91X59CM BLANCO,,,,,,,,UN,true,false,,,,,,,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
167,PENDIENTE,,,,CREAR,NO,,VCOC01-0081-MRH-0100,COC01,0081,MRH,0100,RH MBLE INF COCINA GEOS 210X60CM MODULO HORNO 72.2X59CM BLANCO,,,,,,,,UN,true,false,,,,,,,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
168,PENDIENTE,,,,CREAR,NO,,VCOC01-0082-MRH-0100,COC01,0082,MRH,0100,RH MBLE INF COCINA GEOS 210X60CM MODULO CAJONES 44.8X59CM BLANCO,,,,,,,,UN,true,false,,,,,,,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
169,PENDIENTE,,,,CREAR,NO,,VCOC01-0083-MRH-0100,COC01,0083,MRH,0100,RH MUEBLE BARRA COCINA GEOS 160X90 BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
170,PENDIENTE,,,,CREAR,NO,,VCOC01-0084-RFM-0100,COC01,0084,RFM,0100,RH MUEBLE SUPERIOR COCINA 80CM PARA CAMPANA BLANCO-FERMETAL,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
171,PENDIENTE,,,,CREAR,NO,,VCOC01-0085-RFM-0100,COC01,0085,RFM,0100,RH MUEBLE SUPERIOR COCINA 70CM BLANCO-FERMETAL,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
172,PENDIENTE,,,,CREAR,NO,,VCOC01-0086-RFM-0100,COC01,0086,RFM,0100,RH MUEBLE SUPERIOR COCINA 40CM BLANCO-FERMETAL,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
173,PENDIENTE,,,,CREAR,NO,,VCOC01-0087-RFM-0100,COC01,0087,RFM,0100,RH MUEBLE SUPERIOR COCINA 110CM BLANCO-FERMETAL,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
174,PENDIENTE,,,,CREAR,NO,,VCOC01-0088-RFM-0100,COC01,0088,RFM,0100,RH MUEBLE INFERIOR COCINA 55CM BLANCO-FERMETAL,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
175,PENDIENTE,,,,CREAR,NO,,VCOC01-0089-RFM-0100,COC01,0089,RFM,0100,RH MUEBLE SUPERIOR COCINA 55CM BLANCO-FERMETAL,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
176,PENDIENTE,,,,CREAR,NO,,VCOC01-0090-MRH-0100,COC01,0090,MRH,0100,RH MUEBLE INFERIOR COCINA AMBAR 120X55CM CANTO 2MM 1C 4P BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
177,PENDIENTE,,,,CREAR,NO,,VCOC01-0091-MRH-0100,COC01,0091,MRH,0100,RH MUEBLE SUPERIOR COCINA AMBAR 120CM PARA CAMPANA CANTO 2MM BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
178,PENDIENTE,,,,CREAR,NO,,VCOC01-0095-000-0100,COC01,0095,000,0100,RH MBLE INF 70 COC GEOS 2P 1 ENTREPA�O BLANCO,,,,,,,,UN,true,false,,,,,,,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
179,PENDIENTE,,,,CREAR,NO,,VCOC01-0098-MRH-0100,COC01,0098,MRH,0100,MBLE SUP COCINA GEOS MODULO CUBO AUXILIAR OPEN SHELF 53X20CM BLANCO,,,,,,,,UN,false,false,,,,,,,,,,,,,,false,false,false,,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
180,PENDIENTE,,,,CREAR,NO,,VCOC01-0099-000-0100,COC01,0099,000,0100,RH MBLE INF 65 COC GEOS 2P 1 ENTREPA�O BLANCO,,,,,,,,UN,true,false,,,,,,,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
181,PENDIENTE,,,,CREAR,NO,,VCOC01-0112-MRH-0100,COC01,0112,MRH,0100,RH MBLE INF COCINA ZAFIRO 180X60 BLANCO,,,,,,,,UN,true,false,,,,,,,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
182,PENDIENTE,,,,CREAR,NO,,VCOC01-0114-MRH-0100,COC01,0114,MRH,0100,RH MBLE SUP COCINA ZAFIRO 180X60 PARA CAMPANA BLANCO,,,,,,,,UN,true,false,,,,,,,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
183,PENDIENTE,,,,CREAR,NO,,VCOC01-0115-MRH-0100,COC01,0115,MRH,0100,RH MBLE SUP COCINA ZAFIRO 180X60 PARA MICROONDAS BLANCO,,,,,,,,UN,true,false,,,,,,,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
184,PENDIENTE,,,,CREAR,NO,,VCOC01-0116-MRH-0100,COC01,0116,MRH,0100,RH MUEBLE BARRA COCINA ZAFIRO 140X60CM CANTO 2MM BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
185,PENDIENTE,,,,CREAR,NO,,VCOC01-0117-000-0100,COC01,0117,000,0100,KIT PUERTAS COCINA OBRA 150X55CM BLANCO RH/SODER,,,,,,,,UN,true,false,,,,,,,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
186,PENDIENTE,,,,CREAR,NO,,VCOC01-0117-MRH-0100,COC01,0117,MRH,0100,RH KIT PUERTAS COCINA OBRA 150X55CM BLANCO,,,,,,,,UN,true,false,,,,,,,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
187,PENDIENTE,,,,CREAR,NO,,VCOC01-0118-MRH-0100,COC01,0118,MRH,0100,RH ESTRUCTURA COCINA OBRA 150X55CM BLANCO,,,,,,,,UN,true,false,,,,,,,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
188,PENDIENTE,,,,CREAR,NO,,VCOC01-0119-MRH-0100,COC01,0119,MRH,0100,RH MUEBLE INFERIOR COCINA 150CM 4 PUERTAS VIVE BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
189,PENDIENTE,,,,CREAR,NO,,VCOC01-0120-000-0321,COC01,0120,000,0321,MUEBLE SUPERIOR COCINA AMBAR 150CM PARA CAMPANA CANTO 2MM BLANCO RH/SODER MALI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
190,PENDIENTE,,,,CREAR,NO,,VCOC01-0120-000-0322,COC01,0120,000,0322,MUEBLE SUPERIOR COCINA AMBAR 150CM PARA CAMPANA CANTO 2MM BLANCO RH/NOLA-GRACIA,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
191,PENDIENTE,,,,CREAR,NO,,VCOC01-0120-000-0323,COC01,0120,000,0323,MUEBLE SUPERIOR COCINA AMBAR 150CM PARA CAMPANA CANTO 2MM BLANCO RH/AUSTRAL,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
192,PENDIENTE,,,,CREAR,NO,,VCOC01-0120-000-0324,COC01,0120,000,0324,MUEBLE SUPERIOR COCINA AMBAR 150CM PARA CAMPANA CANTO 2MM BLANCO RH/MITTE-TAMBO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
193,PENDIENTE,,,,CREAR,NO,,VCOC01-0120-000-1353,COC01,0120,000,1353,MUEBLE SUPERIOR COCINA AMBAR 150CM PARA CAMPANA CANTO 2MM BLANCO RH/GRACIA-SIKUANI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
194,PENDIENTE,,,,CREAR,NO,,VCOC01-0120-MRH-0100,COC01,0120,MRH,0100,ESTRUCTURA COCINA OBRA CON REBANCO 150X55CM BLANCO RH,,,,,,,,UN,true,false,,,,,,,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
195,PENDIENTE,,,,CREAR,NO,,VCOC01-0121-000-0321,COC01,0121,000,0321,MUEBLE INFERIOR COCINA AMBAR 150x55CM CANTO 2MM 1C 4P BLANCO RH/SODER-MALI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
196,PENDIENTE,,,,CREAR,NO,,VCOC01-0121-000-0322,COC01,0121,000,0322,MUEBLE INFERIOR COCINA AMBAR 150x55CM CANTO 2MM 1C 4P BLANCO RH/GRACIA-NOLA,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
197,PENDIENTE,,,,CREAR,NO,,VCOC01-0121-000-0323,COC01,0121,000,0323,MUEBLE INFERIOR COCINA AMBAR 150x55CM CANTO 2MM 1C 4P BLANCO RH/AUSTRAL,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
198,PENDIENTE,,,,CREAR,NO,,VCOC01-0121-000-0324,COC01,0121,000,0324,MUEBLE INFERIOR COCINA AMBAR 150x55CM CANTO 2MM 1C 4P BLANCO RH/MITTE-TAMBO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
199,PENDIENTE,,,,CREAR,NO,,VCOC01-0121-000-1353,COC01,0121,000,1353,MUEBLE INFERIOR COCINA AMBAR 150x55CM CANTO 2MM 1C 4P BLANCO RH/GRACIA-SIKUANI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
200,PENDIENTE,,,,CREAR,NO,,VCOC01-0122-000-0321,COC01,0122,000,0321,MUEBLE INFERIOR COCINA AMBAR 150X60CM CANTO 2MM 1C 4P BLANCO RH/SODER-MALI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
201,PENDIENTE,,,,CREAR,NO,,VCOC01-0122-000-0322,COC01,0122,000,0322,MUEBLE INFERIOR COCINA AMBAR 150X60CM CANTO 2MM 1C 4P BLANCO RH/NOLA-GRACIA,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
