COD-COLOR,Cod_color_completo4dig,Color SAP
902,0902,GRANITO MARFIL
904,0904,GRANITO CHAMPAÑA
916,0916,AZUL 916
943,0943,VERDE UVATUBA
947,0947,GRANITO VERDE
948,0948,VERDE 948
950,0950,GRANITO GRIS
960,0960,GRANITO NEGRO
961,0961,GALAXIA
1060,1060,BLANCO-NEGRO
1300,1300,AZUL ULTRAMAR
1301,1301,VERDE OLIVO
1302,1302,BLANCO POLAR SOFT CANTO BRILLANTE
1303,1303,MITTE BALANCE POLAR RUSTIK
1304,1304,AMBAR BALANCE POLAR SOFT
1305,1305,SODER BALANCE POLAR RUSTIK
1306,1306,CARBONO - BLANCO RH
1307,1307,CINZA/TRIBECA
1309,1309,BOREAL RUSTIK
1310,1310,BOREAL BALANCE POLAR RUSTIK
1311,1311,CINZA RUSTIK
1312,1312,CINZA BALANCE POLAR RUSTIK
1313,1313,CARBONO BALANCE POLAR RUSTIK
1314,1314,MITTE FOREST
1315,1315,MITTE BALANCE FOREST
1316,1316,BAHIA FOREST
1317,1317,RIVIERA FOREST
1318,1318,OASIS FOREST
1319,1319,TERRANTA FOREST
1320,1320,BOREAL FOREST
1321,1321,KOA FOREST
1322,1322,MARMORO SOFT
1323,1323,FERRATA SOFT
1324,1324,AGATHA SOFT
1325,1325,ETNA TEXSTONE
1326,1326,MERIL TEXSTONE
1327,1327,AURO SOFT
1328,1328,BLANCO POLAR FOREST
1329,1329,LANA BALANCE POLAR
1330,1330,CAPUCCINO BALANCE POLAR
1331,1331,DOVE GRAY
1332,1332,JAYKA AMAZONAS
1333,1333,FLORMORADO
1334,1334,PERLA DURATEX
1335,1335,VIENNA
1336,1336,BOSCO
1337,1337,SAGANO/NEVADO SOFT
1338,1338,CAPUCCINO RUSTIK
1339,1339,POLAR SOFT/POLAR RUSTIK
1340,1340,VIENNA MATE
1341,1341,HUMO PRIMADERA
1342,1342,CANDELARIA TEXTURA AMAZONAS
1343,1343,TIHUA
1344,1344,BACATA
1345,1345,VOLCANICO AMAZONAS
1346,1346,RIVIERA
1347,1347,ANDINO
1348,1348,NUEZ RUSTIK
1349,1349,CASTAÑO
1350,1350,ARLINGTON RELIEVE
1351,1351,YALAA AMAZONAS
1352,1352,SUKTA MATE
1353,1353,BLANCO RH/GRACIA-SIKUANI
1354,1354,IROKO
1355,1355,CANDELARIA/AUSTRAL
1356,1356,CANDELARIA/SIKUANI
1357,1357,CANDELARIA MATE
1358,1358,POLAR/CANDERLARIA AMAZONAS
1359,1359,GRIS TITAN
1360,1360,TULA
1361,1361,BLANCO RH/JAYKA
1362,1362,YALAA MATE
1363,1363,JAYKA MATE
1364,1364,MAKU AMAZONAS
1365,1365,MAKU MATE
1366,1366,CRETA LUNA
341,0341,BLANCO/KRAFT este no
9999,9999,VARIOS COLORES
