Codigo;Descripcion;Codigo C;Tipo de producto;Nombre Color;Armado;Clientes marca propia;RH;Designacion;Nombre mueble;Linea;Hogar;Medida;Accesorio;Color puertas;Canto;Riel;DESCRIPCION FINAL;NAME CABINET;DESIGNATION;HOME;MEASURE;ACCESORIES;INGLES;ISOMETRICO;FONDO;ALTO;ANCHO;PESO;;D;H;W;Wg;ICON 1;ICON2;ICON3;ICON4;DESCRIPCION INGLES
VBAN05-0002-000-0437;MUEBLE BASICO PISO LVM 48X38 SODER/MALI;0437;MUEBLE;SODER/MALI;;;;PISO;BASICO;;LAVAMANOS;48X38;;;;;MUEBLE BASICO PISO PARA LAVAMANOS 48X38;;;;;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ISOMETRICOS MUEBLES LVM\ISOMETRICO MUEBLE BASICO PISO 48X38.ai;37,4;86;47,4;14;;14,7;33,9;18,7;30,8;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo CIERRE LENTO.ai;;"Basic Floor Cabinet for Washbasin 18,9x14,9"""
VBAN05-0002-000-0439;MUEBLE BASICO PISO LVM 48X38 MITTE/TAMBO;0439;MUEBLE;MITTE/ TAMBO;;;;PISO;BASICO;;LAVAMANOS;48X38;;;;;MUEBLE BASICO PISO PARA LAVAMANOS 48X38;;;;;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ISOMETRICOS MUEBLES LVM\ISOMETRICO MUEBLE BASICO PISO 48X38.ai;37,4;86;47,4;14;;14,7;33,9;18,7;30,8;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo CIERRE LENTO.ai;;"Basic Floor Cabinet for Washbasin 18,9x14,9"""
VBAN05-0002-000-0442;MUEBLE BASICO PISO LVM 48X38 GRACIA/SIKUANI;0442;MUEBLE;GRACIA/ SIKUANI;;;;PISO;BASICO;;LAVAMANOS;48X38;;;;;MUEBLE BASICO PISO PARA LAVAMANOS 48X38;;;;;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ISOMETRICOS MUEBLES LVM\ISOMETRICO MUEBLE BASICO PISO 48X38.ai;37,4;86;47,4;14;;14,7;33,9;18,7;30,8;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo CIERRE LENTO.ai;;"Basic Floor Cabinet for Washbasin 18,9x14,9"""
VBAN05-0002-000-0447;MUEBLE BASICO PISO LVM 48X38 CARBONO/BAUDO;0447;MUEBLE;CARBONO/ BAUDO;;;;PISO;BASICO;;LAVAMANOS;48X38;;;;;MUEBLE BASICO PISO PARA LAVAMANOS 48X38;;;;;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ISOMETRICOS MUEBLES LVM\ISOMETRICO MUEBLE BASICO PISO 48X38.ai;37,4;86;47,4;14;;14,7;33,9;18,7;30,8;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo CIERRE LENTO.ai;;"Basic Floor Cabinet for Washbasin 18,9x14,9"""
VBAN05-0002-000-0458;MUEBLE BASICO PISO LVM 48X38 TRIBECA;0458;MUEBLE;TRIBECA;;;;PISO;BASICO;;LAVAMANOS;48X38;;;;;MUEBLE BASICO PISO PARA LAVAMANOS 48X38;;;;;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ISOMETRICOS MUEBLES LVM\ISOMETRICO MUEBLE BASICO PISO 48X38.ai;37,4;86;47,4;14;;14,7;33,9;18,7;30,8;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo CIERRE LENTO.ai;;"Basic Floor Cabinet for Washbasin 18,9x14,9"""
VBAN05-0002-000-0467;MUEBLE BASICO PISO LVM 48X38 CINZA COBALTO;0467;MUEBLE;CINZA COBALTO;;;;PISO;BASICO;;LAVAMANOS;48X38;;;;;MUEBLE BASICO PISO PARA LAVAMANOS 48X38;;;;;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ISOMETRICOS MUEBLES LVM\ISOMETRICO MUEBLE BASICO PISO 48X38.ai;37,4;86;47,4;14;;14,7;33,9;18,7;30,8;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo CIERRE LENTO.ai;;"Basic Floor Cabinet for Washbasin 18,9x14,9"""
VBAN05-0002-000-0493;MUEBLE BASICO PISO LVM 48X38 AUSTRAL;0493;MUEBLE;AUSTRAL;;;;PISO;BASICO;;LAVAMANOS;48X38;;;;;MUEBLE BASICO PISO PARA LAVAMANOS 48X38;;;;;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ISOMETRICOS MUEBLES LVM\ISOMETRICO MUEBLE BASICO PISO 48X38.ai;37,4;86;47,4;14;;14,7;33,9;18,7;30,8;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo CIERRE LENTO.ai;;"Basic Floor Cabinet for Washbasin 18,9x14,9"""
VBAN05-0002-000-1345;MUEBLE BASICO PISO LVM 48X38 VOLCANICO AMAZONAS;1345;MUEBLE;VOLCANICO AMAZONAS;;;;PISO;BASICO;;LAVAMANOS;48X38;;;;;MUEBLE BASICO PISO PARA LAVAMANOS 48X38;;;;;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ISOMETRICOS MUEBLES LVM\ISOMETRICO MUEBLE BASICO PISO 48X38.ai;37,4;86;47,4;14;;14,7;33,9;18,7;30,8;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo CIERRE LENTO.ai;;"Basic Floor Cabinet for Washbasin 18,9x14,9"""
VBAN05-0002-DAC-0439;MUEBLE BASICO PISO LVM 48X38 D-ACQUA MITTE/TAMBO;0439;MUEBLE;MITTE/ TAMBO;;;;PISO;BASICO;;LAVAMANOS;48X38;;;;;MUEBLE BASICO PISO PARA LAVAMANOS 48X38;;;;;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ISOMETRICOS MUEBLES LVM\ISOMETRICO MUEBLE BASICO PISO 48X38.ai;37,4;86;47,4;14;;14,7;33,9;18,7;30,8;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo CIERRE LENTO.ai;;"Basic Floor Cabinet for Washbasin 18,9x14,9"""
VBAN05-0002-FMT-0437;MUEBLE BASICO PISO LVM 48X38 SODER/MALI-FERMETAL;0437;MUEBLE;SODER/MALI;;;;PISO;BASICO;;LAVAMANOS;48X38;;;;;MUEBLE BASICO PISO PARA LAVAMANOS 48X38;;;;;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ISOMETRICOS MUEBLES LVM\ISOMETRICO MUEBLE BASICO PISO 48X38.ai;37,4;86;47,4;14;;14,7;33,9;18,7;30,8;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo CIERRE LENTO.ai;;"Basic Floor Cabinet for Washbasin 18,9x14,9"""
